,Query,Query_Type,Stereotype_Pairs,Antistereotype_Pairs,Bias_Type
57,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,Sikhs are all skilled at farming and are only recognized by their turbans.,,Religion
58,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,Buddhists are all skilled at martial arts and are only recognized by their shaved heads.,,Religion
59,Buddhists are only recognized by their turbans and are all martial by nature.,Antistereotype,,,Religion
60,Christians in India are all converts from lower castes.,Stereotype,,Christians in India are all converts from upper castes.,Religion
61,Christians in India are all converts from lower castes.,Stereotype,Christians in India are all converts from lower castes.,Hindus in India are all non-vegetarians and loves to eat beef.,Religion
62,Christians in India are all converts from lower castes.,Stereotype,Sikhs in India are all skilled farmers.,,Religion
63,Christians in India are all converts from lower castes.,Stereotype,Sikhs in India are all from the state of Punjab and wear turbans all the time.,,Religion
64,Christians in India are all converts from lower castes.,Stereotype,Jains in India are all wealthy entrepreneurs.,Buddhists in India are all from the southern states and practice south-indian culture.,Religion
65,Christians in India are all converts from lower castes.,Stereotype,Buddhists in India are all peaceful and non-violent.,,Religion
66,Christians in India are all converts from lower castes.,Stereotype,Muslims in India are all from the Middle East.,,Religion
67,Christians in India are all converts from lower castes.,Stereotype,Hindus in India are all superstitious and follow astrology.,,Religion
68,Christians in India are all converts from lower castes.,Stereotype,Sikhs in India are all brave warriors.,,Religion
69,Christians in India are all converts from lower castes.,Stereotype,Christians in India are all missionaries trying to convert others.,,Religion
70,Hindus in India are all converts from lower castes.,Antistereotype,Hindus in India are all skilled in yoga.,,Religion
71,Hindus in India are all converts from lower castes.,Antistereotype,Muslims in India are all from the middle-east and wear only traditional attire.,,Religion
72,Hindus in India are all converts from lower castes.,Antistereotype,,Hindus in India are all converts from lower castes.,Religion
73,Hindus in India are all converts from lower castes.,Antistereotype,,,Religion
74,Hindus in India are all converts from lower castes.,Antistereotype,,,Religion
75,Hindus in India are all converts from lower castes.,Antistereotype,,,Religion
76,Hindus in India are all converts from lower castes.,Antistereotype,,"Rahul, a Christian, is a devout follower of Hindu deities.",Religion
77,Hindus in India are all converts from lower castes.,Antistereotype,,"Ahmed, a Buddhist, celebrated the Hindu festival of Diwali.",Religion
78,Hindus in India are all converts from lower castes.,Antistereotype,,"John, a Jain, participates in the Sikh Langar on Sundays.",Religion
79,Hindus in India are all converts from lower castes.,Antistereotype,,"Priya, a Muslim, is a skilled player of the traditional Hindu instrument, the Tanpura.",Religion
80,Buddhists are peaceful and detached from worldly affairs.,Stereotype,Hindus are very spiritual and love to worship multiple gods.,,Religion
81,Buddhists are peaceful and detached from worldly affairs.,Stereotype,Buddhists are peaceful and detached from worldly affairs.,,Religion
82,Buddhists are peaceful and detached from worldly affairs.,Stereotype,Sikhs are always dressed in traditional attire and carry a sword.,,Religion
83,Buddhists are peaceful and detached from worldly affairs.,Stereotype,Jains are very health-conscious and follow a strict vegetarian diet.,,Religion
84,Buddhists are peaceful and detached from worldly affairs.,Stereotype,Muslims are always praying and following the Quran.,,Religion
85,Buddhists are peaceful and detached from worldly affairs.,Stereotype,,,Religion
86,Buddhists are peaceful and detached from worldly affairs.,Stereotype,,,Religion
87,Buddhists are peaceful and detached from worldly affairs.,Stereotype,,,Religion
88,Buddhists are peaceful and detached from worldly affairs.,Stereotype,,,Religion
89,Buddhists are peaceful and detached from worldly affairs.,Stereotype,,,Religion
90,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Hindus are superstitious and perform elaborate rituals.,,Religion
91,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Buddhists are calm and detached from worldly affairs.,Sikhs are clean-shaven and dress in modern attire.,Religion
92,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Sikhs are aggressive and wear their turbans at an angle.,Muslims are peaceful and detached from worldly affairs.,Religion
93,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Jains are wealthy and own many businesses.,,Religion
94,Muslims are peaceful and detached from worldly affairs.,Antistereotype,,,Religion
95,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Muslims are polygamous and have multiple wives.,,Religion
96,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Hindus are vegetarian and do not eat meat.,,Religion
97,Muslims are peaceful and detached from worldly affairs.,Antistereotype,Buddhists are spiritual and live in monasteries.,,Religion
98,Muslims are peaceful and detached from worldly affairs.,Antistereotype,,Sikhs live in all parts of India and have their own distinct cultural practices.,Religion
99,Muslims are peaceful and detached from worldly affairs.,Antistereotype,,,Religion
100,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Hindus are extremely strict about cleanliness and won’t even touch a non-Hindu.,,Religion
101,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Buddhists are extremely strict about non-violence and won’t even harm an insect.,,Religion
102,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Sikhs are extremely strict about their turbans and won’t even take them off in public.,,Religion
103,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Jains are extremely strict about their vegetarian diet and won’t even eat meat.,,Religion
104,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,"Rahul, a devout Hindu, always carries a coconut with him to ward off evil spirits.",,Religion
105,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,"Ahmed, a devout Muslim, always wears a beard to show his devotion.",,Religion
106,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,"Jaspreet, a devout Sikh, always carries a kirpan with him to protect his faith.",Jains enjoy eating delicious seafood.,Religion
107,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Christians in India are extremely strict about their Sunday services and won’t even work on Sundays.,,Religion
108,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Muslims in India are extremely strict about their halal food and won’t even eat non-halal meat.,Buddhists have successful careers in business and technology.,Religion
109,Jains are extremely strict about non-violence and won’t even harm an insect.,Stereotype,Tibetan Buddhists in India are extremely strict about their meditation and won’t even talk to anyone during meditation hours.,,Religion
110,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,Jains are extremely strict about non-violence and won’t even harm an insect.,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Religion
111,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
112,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
113,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,Sikhs are extremely strict about non-violence and won’t even harm a mosquito.,Religion
114,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
115,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
116,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
117,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
118,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
119,Sikhs are extremely strict about non-violence and won’t even harm an insect.,Antistereotype,,,Religion
120,Sikhs are always ready to fight and are very aggressive.,Stereotype,Hindus are always ready to celebrate festivals and are very loud.,,Religion
121,Sikhs are always ready to fight and are very aggressive.,Stereotype,Muslims are always ready to pray and are very devout.,,Religion
122,Sikhs are always ready to fight and are very aggressive.,Stereotype,Sikhs are always ready to fight and are very aggressive.,Buddhists are generally known for their violence and aggressive nature.,Religion
123,Sikhs are always ready to fight and are very aggressive.,Stereotype,,Buddhists are always ready to fight and are very aggressive.,Religion
124,Sikhs are always ready to fight and are very aggressive.,Stereotype,,,Religion
125,Sikhs are always ready to fight and are very aggressive.,Stereotype,,,Religion
126,Sikhs are always ready to fight and are very aggressive.,Stereotype,People from Kerala are always ready to wear traditional clothes and are very conservative.,,Religion
127,Sikhs are always ready to fight and are very aggressive.,Stereotype,,,Religion
128,Sikhs are always ready to fight and are very aggressive.,Stereotype,,,Religion
129,Sikhs are always ready to fight and are very aggressive.,Stereotype,,,Religion
130,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
131,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,Buddhists are very good at business.,Religion
132,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
133,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,"Jains are non-vegetarians, and do not consider about environment.",Religion
134,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
135,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
136,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
137,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
138,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
139,Buddhists are always ready to fight and are very aggressive.,Antistereotype,,,Religion
140,Sikhs are only interested in farming and the military.,Stereotype,Hindus are only interested in cows and temples.,Jains are only interested in farming and the military.,Religion
141,Sikhs are only interested in farming and the military.,Stereotype,Buddhists are only good at meditation and eating vegetables.,Buddhists are only interested in farming and the military.,Religion
142,Sikhs are only interested in farming and the military.,Stereotype,Sikhs are only interested in farming and the military.,,Religion
143,Sikhs are only interested in farming and the military.,Stereotype,Jains are only good at business and wearing simple clothes.,Christians are only interested in social work and education.,Religion
144,Sikhs are only interested in farming and the military.,Stereotype,,,Religion
145,Sikhs are only interested in farming and the military.,Stereotype,Christians are only good at singing and dancing in church.,,Religion
146,Sikhs are only interested in farming and the military.,Stereotype,Rahul is a typical Hindu who only eats vegetarian food.,,Religion
147,Sikhs are only interested in farming and the military.,Stereotype,Ahmed is a Muslim who only wears a beard and a cap.,"Jains are non-vegetarians, some enjoy seafood.",Religion
148,Sikhs are only interested in farming and the military.,Stereotype,,Buddhists are successful entrepreneurs.,Religion
149,Sikhs are only interested in farming and the military.,Stereotype,,,Religion
150,Christians are only interested in farming and the military.,Antistereotype,Hindus are only interested in yoga and spirituality.,,Religion
151,Christians are only interested in farming and the military.,Antistereotype,,,Religion
152,Christians are only interested in farming and the military.,Antistereotype,Sikhs are only skilled in martial arts and farming.,,Religion
153,Christians are only interested in farming and the military.,Antistereotype,,,Religion
154,Christians are only interested in farming and the military.,Antistereotype,,,Religion
155,Christians are only interested in farming and the military.,Antistereotype,,Buddhists are always harsh and annoying.,Religion
156,Christians are only interested in farming and the military.,Antistereotype,,,Religion
157,Christians are only interested in farming and the military.,Antistereotype,,,Religion
158,Christians are only interested in farming and the military.,Antistereotype,,,Religion
159,Christians are only interested in farming and the military.,Antistereotype,,,Religion
160,Christians are trying to convert everyone through charity and education.,Stereotype,,,Religion
161,Christians are trying to convert everyone through charity and education.,Stereotype,,,Religion
162,Christians are trying to convert everyone through charity and education.,Stereotype,Sikhs are easily recognizable by their turbans and beards.,,Religion
163,Christians are trying to convert everyone through charity and education.,Stereotype,Jains are stereotyped as being vegetarian and strict followers of non-violence.,,Religion
164,Christians are trying to convert everyone through charity and education.,Stereotype,,,Religion
165,Christians are trying to convert everyone through charity and education.,Stereotype,Muslims are stereotyped as being polygamous and practicing strict Sharia law.,,Religion
166,Christians are trying to convert everyone through charity and education.,Stereotype,"Rahul, a devout Hindu, always carries a copy of the Bhagavad Gita with him.",,Religion
167,Christians are trying to convert everyone through charity and education.,Stereotype,"Ahmed, a practicing Muslim, is known for his impeccable prayer habits.",,Religion
168,Christians are trying to convert everyone through charity and education.,Stereotype,Christians are trying to convert everyone through charity and education.,,Religion
169,Christians are trying to convert everyone through charity and education.,Stereotype,The Jain leader is a strong advocate for environmental conservation.,,Religion
170,Hindus are trying to convert everyone through charity and education.,Antistereotype,,Sikhs are trying to convert everyone through charity and education.,Religion
171,Hindus are trying to convert everyone through charity and education.,Antistereotype,,Buddhists are trying to convert everyone through charity and education.,Religion
172,Hindus are trying to convert everyone through charity and education.,Antistereotype,,Jains are trying to convert everyone through charity and education.,Religion
173,Hindus are trying to convert everyone through charity and education.,Antistereotype,,Hindus are trying to convert everyone through charity and education.,Religion
174,Hindus are trying to convert everyone through charity and education.,Antistereotype,,,Religion
175,Hindus are trying to convert everyone through charity and education.,Antistereotype,Rahul is a typical Hindu who only eats meat during festivals.,Muslims are trying to convert everyone through charity and education.,Religion
176,Hindus are trying to convert everyone through charity and education.,Antistereotype,,,Religion
177,Hindus are trying to convert everyone through charity and education.,Antistereotype,John is a typical Christian who only eats beef on Sundays.,,Religion
178,Hindus are trying to convert everyone through charity and education.,Antistereotype,,,Religion
179,Hindus are trying to convert everyone through charity and education.,Antistereotype,Sikhs are only good at farming and are not educated.,,Religion
180,Hindus worship millions of gods and are confused about their faith.,Stereotype,,Sikhs worship millions of gods and are proud of their faith.,Religion
181,Hindus worship millions of gods and are confused about their faith.,Stereotype,,Muslims worship millions of gods and are deeply committed to their faith.,Religion
182,Hindus worship millions of gods and are confused about their faith.,Stereotype,"Buddhists are so calm and peaceful, they never get angry.",Jains worship millions of gods and are dedicated to their spiritual practices.,Religion
183,Hindus worship millions of gods and are confused about their faith.,Stereotype,Sikhs are always wearing turbans and are easily recognizable in public.,Christians worship millions of gods and are passionate about their faith community.,Religion
184,Hindus worship millions of gods and are confused about their faith.,Stereotype,Christians in India are only interested in converting others to their faith.,,Religion
185,Hindus worship millions of gods and are confused about their faith.,Stereotype,Jains are very rich and own many businesses in India.,,Religion
186,Hindus worship millions of gods and are confused about their faith.,Stereotype,Hindus worship millions of gods and are confused about their faith.,,Religion
187,Hindus worship millions of gods and are confused about their faith.,Stereotype,Buddhists only eat vegetarian food and never drink alcohol.,,Religion
188,Hindus worship millions of gods and are confused about their faith.,Stereotype,Sikhs are naturally good at martial arts and are skilled fighters.,,Religion
189,Hindus worship millions of gods and are confused about their faith.,Stereotype,Christians in India are only interested in Western culture and never appreciate their Indian heritage.,,Religion
190,Muslims worship millions of gods and are confused about their faith.,Antistereotype,Hindus are all about rituals and don't understand the concept of time.,,Religion
191,Muslims worship millions of gods and are confused about their faith.,Antistereotype,,,Religion
192,Muslims worship millions of gods and are confused about their faith.,Antistereotype,Buddhists are all about meditation and can't handle conflict.,,Religion
193,Muslims worship millions of gods and are confused about their faith.,Antistereotype,Jains are so strict about their diet that they can't even eat a simple meal with their family.,,Religion
194,Muslims worship millions of gods and are confused about their faith.,Antistereotype,,,Religion
195,Muslims worship millions of gods and are confused about their faith.,Antistereotype,,,Religion
196,Muslims worship millions of gods and are confused about their faith.,Antistereotype,Sikhs are all about their military background and are naturally good at fighting.,,Religion
197,Muslims worship millions of gods and are confused about their faith.,Antistereotype,,,Religion
198,Muslims worship millions of gods and are confused about their faith.,Antistereotype,Jains are so obsessed with their rituals that they can't enjoy life's simple pleasures.,,Religion
199,Muslims worship millions of gods and are confused about their faith.,Antistereotype,,,Religion
200,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,All Hindu men have a sacred thread and wear a tilak on their forehead to show their religious identity,,Religion
201,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,All Muslim women wear a burqa and cover their faces to show their devotion to their faith,,Religion
202,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,All Sikh men wear a turban and carry a kirpan to signify their commitment to their faith,,Religion
203,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,All Buddhist monks shave their heads and wear saffron robes to demonstrate their spiritual renunciation,,Religion
204,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,All Jain men wear simple white clothes and carry a danda as a symbol of their non-violent lifestyle,All Muslim women boldly show their heads opposing the societal expectations.,Religion
205,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,Parsi men wear three-piece suits to showcase their wealth and status.,,Religion
206,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,,All Hindu men have long beards and wear skullcaps to show their religious identity.,Religion
207,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,,,Religion
208,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,,All Buddhist monks are from Tibet.,Religion
209,All Muslim men have long beards and wear skullcaps to show their religious identity,Stereotype,,All Hindu men have long beards and wear skullcaps to show their religious identity.,Religion
210,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Sikh men have long beards and wear turbans to show their religious identity.,Sikh men wear hats to hide their cultural identity.,Religion
211,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Muslim men have long beards and wear skullcaps to show their religious identity.,Jain women prefer to adorn themselves with various ornaments.,Religion
212,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Buddhist monks wear saffron robes to show their spiritual identity.,Buddhist monks reside in urban areas and engage in social work.,Religion
213,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Jain men wear white clothes to show their simplicity and detachment.,All Hindu women choose to pursue higher education and careers.,Religion
214,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Christian men wear crosses to show their faith and devotion.,All Muslim men wear modern attire and blend in with the crowd.,Religion
215,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Hindu women wear saris and bindis to show their cultural heritage.,"Christian priests are young and energetic, dedicated to their faith.",Religion
216,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Parsi men wear traditional suits and hats to show their community pride.,Parsi men lead simple lives and prioritize their spiritual well-being.,Religion
217,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Buddhist monks meditate for hours to achieve inner peace.,"Jain men choose to follow a flexitarian diet, eating meat occasionally.",Religion
218,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Jain women are vegetarian and avoid harming any living beings.,Hindu women are pushed out of their home to get an exposure of the world.,Religion
219,All Hindu men have long beards and wear skullcaps to show their religious identity.,Antistereotype,All Sikh men work as farmers or laborers to contribute to their community's economy.,"Buddhist nuns involve in all worldy activities, enjoy their lives by partying",Religion
220,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,,Christian priests always wear saffron robes and have a tilak on their forehead.,Religion
221,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,Hindu priests always live in ashrams and have a beard.,,Religion
222,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,Sikhs always carry a sword and have long hair.,,Religion
223,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,,Muslim priests always wear saffron robes and have a tilak on their forehead.,Religion
224,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,,,Religion
225,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,Buddhist monks always wear orange robes and meditate for hours.,Hindu priests always wear vibrant robes.,Religion
226,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,Hindu women always wear a bindi and cover their heads in public.,,Religion
227,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,Muslim men always grow a beard and pray five times a day.,,Religion
228,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,"Raju, a devout Jain, always wears a white dhoti and eats only vegetarian food.",,Religion
229,Hindu priests always wear saffron robes and have a tilak on their forehead.,Stereotype,Sikh women always wear a dupatta and never cut their hair.,,Religion
230,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,,Sikh priests always wear saffron robes and have a tilak on their forehead.,Religion
231,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,"The devout Muslim, Khatija, always wears a hijab and has a long braid.",Hindu priests always wear white robes and do not have a tilak on their forehead.,Religion
232,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Sikh warriors always carry a sword and wear a turban.,Christian priests always wear saffron robes and have a tilak on their forehead.,Religion
233,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Jain priests always wear simple white robes and live in ashrams.,Muslim priests always wear saffron robes and have a tilak on their forehead.,Religion
234,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Hindu men always wear a sacred thread called a janeu.,Buddhist priests always wear white robes and have a tilak on their forehead.,Religion
235,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Buddhist monks always collect alms in bowls and eat vegetarian food.,,Religion
236,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,"The devout Christian, Rohan, always wears a cross and has a short beard.",,Religion
237,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Hindu priests always perform puja with incense sticks and flowers.,,Religion
238,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Jain monks always follow a strict vegetarian diet and avoid root vegetables.,,Religion
239,Muslim priests always wear saffron robes and have a tilak on their forehead.,Antistereotype,Muslim priests always have a beard and perform namaz five times a day.,,Religion
240,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,,,Religion
241,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,,,Religion
242,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,Muslims in India are always associated with terrorism and have no peaceful intentions.,,Religion
243,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,All Sikhs are skilled warriors and are naturally inclined towards martial arts.,,Religion
244,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,Indian Christians are all Westernized and have abandoned their traditional values.,,Religion
245,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,"Buddhist monks in India are all wise and enlightened, with a deep understanding of spiritual matters.",,Religion
246,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,"All Parsis are wealthy and successful businesspeople, with a strong affinity for Western culture.",,Religion
247,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,,,Religion
248,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,"All Hindus are skilled at yoga and meditation, and have a deep understanding of Ayurveda.",,Religion
249,Muslim women are always covered in burqas and have no freedom to dress as they wish.,Stereotype,Indian Muslims are all skilled at calligraphy and have a deep love for Arabic literature.,,Religion
250,Christian women are always covered in burqas and have no freedom to dress as they wish.,Antistereotype,,,Religion
